SensorID: 5498,
Firmware Version: 1.5.5,

mm-dd,hh:mm:ss,SmO2 Live,SmO2 Averaged,THb,Lap,Session Ct,
3-26,11:13:15,46,46,13.15,1,152,
3-26,11:13:15,45,45,13.12,1,152,
3-26,11:13:16,44,44,13.11,1,152,
3-26,11:13:16,45,45,13.14,1,152,
3-26,11:13:17,45,45,13.13,1,152,
3-26,11:13:17,45,45,13.14,1,152,
3-26,11:13:18,45,45,13.13,1,152,
3-26,11:13:18,45,45,13.13,1,152,
3-26,11:13:19,46,46,13.15,1,152,
3-26,11:13:19,45,45,13.13,1,152,
3-26,11:13:20,44,44,13.12,1,152,
3-26,11:13:20,44,44,13.11,1,152,
3-26,11:13:21,44,44,13.12,1,152,
3-26,11:13:15,46,46,13.15,1,152,
3-26,11:13:15,45,45,13.12,1,152,
3-26,11:13:16,44,44,13.11,1,152,
3-26,11:13:16,45,45,13.14,1,152,
3-26,11:13:17,45,45,13.13,1,152,
3-26,11:13:17,45,45,13.14,1,152,
3-26,11:13:18,45,45,13.13,1,152,
3-26,11:13:18,45,45,13.13,1,152,
3-26,11:13:19,46,46,13.15,1,152,
3-26,11:13:19,45,45,13.13,1,152,
3-26,11:13:20,44,44,13.12,1,152,
3-26,11:13:20,44,44,13.11,1,152,
3-26,11:13:21,44,44,13.12,1,152,
3-26,11:13:21,44,44,13.13,1,152,
3-26,11:13:22,45,45,13.14,1,152,
3-26,11:13:22,45,45,13.13,1,152,
3-26,11:13:23,45,45,13.14,1,152,
3-26,11:13:23,45,45,13.14,1,152,
3-26,11:13:24,43,43,13.11,1,152,
3-26,11:13:24,44,44,13.12,1,152,
3-26,11:13:25,44,44,13.12,1,152,
3-26,11:13:25,44,44,13.11,1,152,
3-26,11:13:26,45,45,13.12,1,152,
3-26,11:13:26,44,44,13.11,1,152,
3-26,11:13:27,44,44,13.13,1,152,
3-26,11:13:27,44,44,13.12,1,152,
3-26,11:13:28,44,44,13.13,1,152,
3-26,11:13:28,45,45,13.16,1,152,
3-26,11:13:29,44,44,13.13,1,152,
3-26,11:13:29,43,43,13.11,1,152,
3-26,11:13:30,43,43,13.11,1,152,
3-26,11:13:30,43,43,13.13,1,152,
3-26,11:13:31,42,42,13.1,1,152,
3-26,11:13:31,44,44,13.14,1,152,
3-26,11:13:32,45,45,13.14,1,152,
3-26,11:13:32,42,42,13.1,1,152,
3-26,11:13:33,43,43,13.11,1,152,
3-26,11:13:33,44,44,13.13,1,152,
3-26,11:13:34,43,43,13.12,1,152,
3-26,11:13:34,44,44,13.14,1,152,
3-26,11:13:35,42,42,13.1,1,152,
3-26,11:13:35,43,43,13.12,1,152,
3-26,11:13:36,45,45,13.16,1,152,
3-26,11:13:36,44,44,13.13,1,152,
3-26,11:13:37,44,44,13.14,1,152,
3-26,11:13:37,44,44,13.13,1,152,
3-26,11:13:38,43,43,13.1,1,152,
3-26,11:13:38,45,45,13.14,1,152,
3-26,11:13:39,44,44,13.13,1,152,
3-26,11:13:39,44,44,13.13,1,152,
3-26,11:13:40,44,44,13.13,1,152,
3-26,11:13:40,44,44,13.13,1,152,
3-26,11:13:41,45,45,13.15,1,152,
3-26,11:13:41,45,45,13.15,1,152,
3-26,11:13:42,45,45,13.15,1,152,
3-26,11:13:42,45,45,13.14,1,152,
3-26,11:13:43,44,44,13.13,1,152,
3-26,11:13:43,44,44,13.13,1,152,
3-26,11:13:44,44,44,13.13,1,152,
3-26,11:13:44,44,44,13.13,1,152,
3-26,11:13:45,43,43,13.11,1,152,
3-26,11:13:45,45,45,13.14,1,152,
3-26,11:13:46,44,44,13.13,1,152,
3-26,11:13:46,45,45,13.14,1,152,
3-26,11:13:47,44,44,13.12,1,152,
3-26,11:13:47,44,44,13.14,1,152,
3-26,11:13:48,44,44,13.11,1,152,
3-26,11:13:48,45,45,13.13,1,152,
3-26,11:13:49,44,44,13.13,1,152,
3-26,11:13:49,45,45,13.14,1,152,
3-26,11:13:50,45,45,13.13,1,152,
3-26,11:13:50,45,45,13.12,1,152,
3-26,11:13:51,45,45,13.14,1,152,
3-26,11:13:51,45,45,13.12,1,152,
3-26,11:13:52,45,45,13.13,1,152,
3-26,11:13:52,45,45,13.13,1,152,
3-26,11:13:53,44,44,13.1,1,152,
3-26,11:13:53,45,45,13.11,1,152,
3-26,11:13:54,45,45,13.11,1,152,
3-26,11:13:54,45,45,13.13,1,152,
3-26,11:13:55,45,45,13.13,1,152,
3-26,11:13:55,46,46,13.13,1,152,
3-26,11:13:56,46,46,13.13,1,152,
3-26,11:13:56,45,45,13.1,1,152,
3-26,11:13:57,46,46,13.12,1,152,
3-26,11:13:57,46,46,13.12,1,152,
3-26,11:13:58,46,46,13.13,1,152,
3-26,11:13:58,46,46,13.13,1,152,
3-26,11:13:59,47,47,13.13,1,152,
3-26,11:13:59,46,46,13.12,1,152,
3-26,11:14:0,46,46,13.12,1,152,
3-26,11:14:0,47,47,13.13,1,152,
3-26,11:14:1,47,47,13.12,1,152,
3-26,11:14:1,47,47,13.11,1,152,
3-26,11:14:2,47,47,13.12,1,152,
3-26,11:14:2,47,47,13.12,1,152,
3-26,11:14:3,47,47,13.1,1,152,
3-26,11:14:3,48,48,13.13,1,152,
3-26,11:14:4,48,48,13.11,1,152,
3-26,11:14:4,47,47,13.09,1,152,
3-26,11:14:5,48,48,13.11,1,152,
3-26,11:14:5,47,47,13.1,1,152,
3-26,11:14:6,49,49,13.13,1,152,
3-26,11:14:6,48,48,13.11,1,152,
3-26,11:14:7,48,48,13.1,1,152,
3-26,11:14:7,47,47,13.08,1,152,
3-26,11:14:8,48,48,13.1,1,152,
3-26,11:14:8,48,48,13.1,1,152,
3-26,11:14:9,48,48,13.1,1,152,
3-26,11:14:9,49,49,13.12,1,152,
3-26,11:14:10,48,48,13.1,1,152,
3-26,11:14:10,49,49,13.12,1,152,
3-26,11:14:11,49,49,13.13,1,152,
3-26,11:14:11,49,49,13.1,1,152,
3-26,11:14:12,49,49,13.11,1,152,
3-26,11:14:12,48,48,13.09,1,152,
3-26,11:14:13,48,48,13.09,1,152,
3-26,11:14:13,49,49,13.11,1,152,
3-26,11:14:14,50,50,13.13,1,152,
3-26,11:14:14,49,49,13.1,1,152,
3-26,11:14:15,49,49,13.11,1,152,
3-26,11:14:15,49,49,13.11,1,152,
3-26,11:14:16,49,49,13.1,1,152,
3-26,11:14:16,49,49,13.12,1,152,
3-26,11:14:17,49,49,13.11,1,152,
3-26,11:14:17,49,49,13.11,1,152,
3-26,11:14:18,49,49,13.12,1,152,
3-26,11:14:18,48,48,13.1,1,152,
3-26,11:14:19,48,48,13.09,1,152,
3-26,11:14:19,48,48,13.1,1,152,
3-26,11:14:20,48,48,13.09,1,152,
3-26,11:14:20,48,48,13.1,1,152,
3-26,11:14:21,49,49,13.11,1,152,
3-26,11:14:21,49,49,13.13,1,152,
3-26,11:14:22,48,48,13.08,1,152,
3-26,11:14:22,49,49,13.13,1,152,
3-26,11:14:23,48,48,13.09,1,152,
3-26,11:14:23,48,48,13.11,1,152,
3-26,11:14:24,48,48,13.11,1,152,
3-26,11:14:24,47,47,13.09,1,152,
3-26,11:14:25,49,49,13.13,1,152,
3-26,11:14:25,50,50,13.15,1,152,
3-26,11:14:26,49,49,13.12,1,152,
3-26,11:14:26,49,49,13.13,1,152,
3-26,11:14:27,48,48,13.12,1,152,
3-26,11:14:27,49,49,13.13,1,152,
3-26,11:14:28,48,48,13.14,1,152,
3-26,11:14:28,48,48,13.12,1,152,
3-26,11:14:29,48,48,13.11,1,152,
3-26,11:14:29,49,49,13.13,1,152,
3-26,11:14:30,47,47,13.09,1,152,
3-26,11:14:30,49,49,13.14,1,152,
3-26,11:14:31,49,49,13.12,1,152,
3-26,11:14:31,48,48,13.11,1,152,
3-26,11:14:32,48,48,13.12,1,152,
3-26,11:14:32,47,47,13.1,1,152,
3-26,11:14:33,49,49,13.12,1,152,
3-26,11:14:33,49,49,13.13,1,152,
3-26,11:14:34,48,48,13.1,1,152,
3-26,11:14:34,48,48,13.1,1,152,
3-26,11:14:35,48,48,13.11,1,152,
3-26,11:14:35,48,48,13.12,1,152,
3-26,11:14:36,48,48,13.11,1,152,
3-26,11:14:36,48,48,13.11,1,152,
3-26,11:14:37,48,48,13.09,1,152,
3-26,11:14:37,47,47,13.09,1,152,
3-26,11:14:38,47,47,13.1,1,152,
3-26,11:14:38,47,47,13.09,1,152,
3-26,11:14:39,48,48,13.11,1,152,
3-26,11:14:39,48,48,13.12,1,152,
3-26,11:14:40,47,47,13.11,1,152,
3-26,11:14:40,47,47,13.13,1,152,
3-26,11:14:41,47,47,13.13,1,152,
3-26,11:14:41,47,47,13.11,1,152,
3-26,11:14:42,47,47,13.12,1,152,
3-26,11:14:42,47,47,13.13,1,152,
3-26,11:14:43,47,47,13.13,1,152,
3-26,11:14:43,46,46,13.09,1,152,
3-26,11:14:44,47,47,13.14,1,152,
3-26,11:14:44,47,47,13.13,1,152,
3-26,11:14:45,46,46,13.12,1,152,
3-26,11:14:45,48,48,13.15,1,152,
3-26,11:14:46,47,47,13.14,1,152,
3-26,11:14:46,46,46,13.14,1,152,
3-26,11:14:47,47,47,13.14,1,152,
3-26,11:14:47,45,45,13.12,1,152,
3-26,11:14:48,47,47,13.14,1,152,
3-26,11:14:48,45,45,13.13,1,152,
