SensorID: 5498,
Firmware Version: 1.5.5,

Date,Time,SmO2 Live,SmO2 Averaged,THb,Lap,Session Ct,
4-18,10:58:43,29,29,12.32,0,212,
4-18,10:58:43,28,28,12.29,0,212,
4-18,10:58:44,27,27,12.31,0,212,
4-18,10:58:44,28,28,12.3,0,212,
4-18,10:58:45,30,30,12.26,0,212,
4-18,10:58:45,35,35,12.18,0,212,
4-18,10:58:46,39,39,12.13,0,212,
4-18,10:58:46,42,42,12.06,0,212,
4-18,10:58:47,45,45,12.05,0,212,
4-18,10:58:47,48,48,12.07,0,212,
4-18,10:58:48,52,52,12.01,0,212,
4-18,10:58:48,55,55,12,0,212,
4-18,10:58:49,58,58,11.97,0,212,
4-18,10:58:49,60,60,11.98,0,212,
4-18,10:58:50,62,62,11.97,0,212,
4-18,10:58:50,64,64,11.99,0,212,
4-18,10:58:51,66,66,12,0,212,
4-18,10:58:51,67,67,11.99,0,212,
4-18,10:58:52,69,69,12.02,0,212,
4-18,10:58:52,70,70,12.01,0,212,
4-18,10:58:53,71,71,12.01,0,212,
4-18,10:58:53,71,71,12.05,0,212,
4-18,10:58:54,72,72,12.04,0,212,
4-18,10:58:54,73,73,12.06,0,212,
4-18,10:58:55,73,73,12.05,0,212,
4-18,10:58:55,74,74,12.06,0,212,
4-18,10:58:56,74,74,12.04,0,212,
4-18,10:58:56,75,75,12.03,0,212,
4-18,10:58:57,76,76,12.03,0,212,
4-18,10:58:57,77,77,12.02,0,212,
4-18,10:58:58,76,76,12.04,0,212,
4-18,10:58:58,77,77,12.05,0,212,
4-18,10:58:59,77,77,12.04,0,212,
4-18,10:58:59,77,77,12.03,0,212,
4-18,10:59:0,78,78,12.01,0,212,
4-18,10:59:0,77,77,12.02,0,212,
4-18,10:59:1,78,78,12.06,0,212,
4-18,10:59:1,78,78,12.03,0,212,
4-18,10:59:2,78,78,12.02,0,212,
4-18,10:59:2,78,78,12.02,0,212,
4-18,10:59:3,78,78,12.02,0,212,
4-18,10:59:3,78,78,12.02,0,212,
4-18,10:59:4,78,78,12.04,0,212,
4-18,10:59:4,79,79,12.04,0,212,
4-18,10:59:5,78,78,12.03,0,212,
4-18,10:59:5,79,79,12.04,0,212,
4-18,10:59:6,79,79,12.03,0,212,
4-18,10:59:6,79,79,12.02,0,212,
4-18,10:59:7,79,79,12.03,0,212,
4-18,10:59:7,80,80,12.04,0,212,
4-18,10:59:8,80,80,12.05,0,212,
4-18,10:59:8,81,81,12.04,0,212,
4-18,10:59:9,80,80,12.05,0,212,
4-18,10:59:9,81,81,12.04,0,212,
4-18,10:59:10,81,81,12.05,0,212,
4-18,10:59:10,81,81,12.06,0,212,
4-18,10:59:11,81,81,12.05,0,212,
4-18,10:59:11,81,81,12.04,0,212,
4-18,10:59:12,82,82,12.04,0,212,
4-18,10:59:12,82,82,12.02,0,212,
4-18,10:59:13,82,82,12.04,0,212,
4-18,10:59:13,82,82,12.07,0,212,
4-18,10:59:14,83,83,12.06,0,212,
4-18,10:59:14,83,83,12.06,0,212,
4-18,10:59:15,82,82,12.03,0,212,
4-18,10:59:15,83,83,12.06,0,212,
4-18,10:59:16,83,83,12.05,0,212,
4-18,10:59:16,83,83,12.08,0,212,
4-18,10:59:17,83,83,12.07,0,212,
4-18,10:59:17,83,83,12.06,0,212,
4-18,10:59:18,83,83,12.09,0,212,
4-18,10:59:18,83,83,12.08,0,212,
4-18,10:59:19,83,83,12.07,0,212,
4-18,10:59:19,84,84,12.07,0,212,
4-18,10:59:20,84,84,12.07,0,212,
4-18,10:59:20,84,84,12.08,0,212,
4-18,10:59:21,84,84,12.07,0,212,
4-18,10:59:21,84,84,12.09,0,212,
4-18,10:59:22,84,84,12.09,0,212,
4-18,10:59:22,84,84,12.07,0,212,
4-18,10:59:23,84,84,12.06,0,212,
4-18,10:59:23,84,84,12.06,0,212,
4-18,10:59:24,84,84,12.09,0,212,
4-18,10:59:24,84,84,12.08,0,212,
4-18,10:59:25,84,84,12.07,0,212,
4-18,10:59:25,85,85,12.08,0,212,
4-18,10:59:26,85,85,12.06,0,212,
4-18,10:59:26,85,85,12.08,0,212,
4-18,10:59:27,85,85,12.08,0,212,
4-18,10:59:27,85,85,12.08,0,212,
4-18,10:59:28,86,86,12.05,0,212,
4-18,10:59:28,85,85,12.07,0,212,
4-18,10:59:29,85,85,12.08,0,212,
4-18,10:59:29,85,85,12.07,0,212,
4-18,10:59:30,85,85,12.05,0,212,
4-18,10:59:30,85,85,12.07,0,212,
4-18,10:59:31,85,85,12.07,0,212,
4-18,10:59:31,86,86,12.07,0,212,
4-18,10:59:32,86,86,12.06,0,212,
4-18,10:59:32,86,86,12.09,0,212,
4-18,10:59:33,86,86,12.09,0,212,
