SensorID: 5498						
Firmware Version: 1.5.5						
						
Date	Time	SmO2 Live	SmO2 Averaged	THb	Lap	Session Ct
04岿 07老	9:53:01	45	45	12.52	11	171
04岿 07老	9:53:01	46	46	12.54	11	171
04岿 07老	9:53:02	45	45	12.53	11	171
04岿 07老	9:53:02	45	45	12.53	11	171
04岿 07老	9:53:03	45	45	12.54	11	171
04岿 07老	9:53:03	46	46	12.55	11	171
04岿 07老	9:53:04	44	44	12.51	11	171
04岿 07老	9:53:04	44	44	12.54	11	171
04岿 07老	9:53:05	45	45	12.54	11	171
04岿 07老	9:53:05	45	45	12.56	11	171
04岿 07老	9:53:06	46	46	12.56	11	171
04岿 07老	9:53:06	46	46	12.56	11	171
04岿 07老	9:53:07	45	45	12.55	11	171
04岿 07老	9:53:07	45	45	12.53	11	171
04岿 07老	9:53:08	45	45	12.55	11	171
04岿 07老	9:53:08	44	44	12.54	11	171
04岿 07老	9:53:09	44	44	12.53	11	171
04岿 07老	9:53:09	45	45	12.54	11	171
04岿 07老	9:53:10	46	46	12.56	11	171
04岿 07老	9:53:10	45	45	12.53	11	171
04岿 07老	9:53:11	44	44	12.53	11	171
04岿 07老	9:53:11	45	45	12.54	11	171
04岿 07老	9:53:12	45	45	12.55	11	171
04岿 07老	9:53:12	45	45	12.55	11	171
04岿 07老	9:53:13	46	46	12.55	11	171
04岿 07老	9:53:13	45	45	12.54	11	171
04岿 07老	9:53:14	46	46	12.56	11	171
04岿 07老	9:53:14	45	45	12.55	11	171
04岿 07老	9:53:15	44	44	12.52	11	171
04岿 07老	9:53:15	44	44	12.52	11	171
04岿 07老	9:53:16	45	45	12.54	11	171
04岿 07老	9:53:16	44	44	12.54	11	171
04岿 07老	9:53:17	46	46	12.55	11	171
04岿 07老	9:53:17	44	44	12.52	11	171
04岿 07老	9:53:18	45	45	12.55	11	171
04岿 07老	9:53:18	45	45	12.54	11	171
04岿 07老	9:53:19	45	45	12.56	11	171
04岿 07老	9:53:19	44	44	12.54	11	171
04岿 07老	9:53:20	45	45	12.53	11	171
04岿 07老	9:53:20	45	45	12.53	11	171
04岿 07老	9:53:21	44	44	12.55	11	171
04岿 07老	9:53:21	45	45	12.54	11	171
04岿 07老	9:53:22	45	45	12.55	11	171
04岿 07老	9:53:22	44	44	12.55	11	171
04岿 07老	9:53:23	44	44	12.56	11	171
04岿 07老	9:53:23	43	43	12.53	11	171
04岿 07老	9:53:24	44	44	12.54	11	171
04岿 07老	9:53:24	44	44	12.53	11	171
04岿 07老	9:53:25	45	45	12.55	11	171
04岿 07老	9:53:25	45	45	12.54	11	171
04岿 07老	9:53:26	43	43	12.52	11	171
04岿 07老	9:53:26	44	44	12.54	11	171
04岿 07老	9:53:27	44	44	12.54	11	171
04岿 07老	9:53:27	44	44	12.54	11	171
04岿 07老	9:53:28	44	44	12.54	11	171
04岿 07老	9:53:28	45	45	12.55	11	171
04岿 07老	9:53:29	45	45	12.55	11	171
04岿 07老	9:53:29	45	45	12.55	11	171
04岿 07老	9:53:30	45	45	12.56	11	171
04岿 07老	9:53:30	44	44	12.53	11	171
04岿 07老	9:53:31	45	45	12.55	11	171
04岿 07老	9:53:31	45	45	12.54	11	171
04岿 07老	9:53:32	44	44	12.53	11	171
04岿 07老	9:53:32	44	44	12.53	11	171
04岿 07老	9:53:33	45	45	12.54	11	171
04岿 07老	9:53:33	44	44	12.53	11	171
04岿 07老	9:53:34	45	45	12.56	11	171
04岿 07老	9:53:34	45	45	12.54	11	171
04岿 07老	9:53:35	46	46	12.56	11	171
04岿 07老	9:53:35	45	45	12.55	11	171
04岿 07老	9:53:36	45	45	12.54	11	171
04岿 07老	9:53:36	45	45	12.55	11	171
04岿 07老	9:53:37	44	44	12.52	11	171
04岿 07老	9:53:37	45	45	12.55	11	171
04岿 07老	9:53:38	45	45	12.55	11	171
04岿 07老	9:53:38	45	45	12.52	11	171
04岿 07老	9:53:39	46	46	12.55	11	171
04岿 07老	9:53:39	45	45	12.54	11	171
04岿 07老	9:53:40	46	46	12.54	11	171
04岿 07老	9:53:40	46	46	12.55	11	171
04岿 07老	9:53:41	44	44	12.54	11	171
04岿 07老	9:53:41	46	46	12.55	11	171
04岿 07老	9:53:42	45	45	12.54	11	171
04岿 07老	9:53:42	46	46	12.54	11	171
04岿 07老	9:53:43	46	46	12.55	11	171
04岿 07老	9:53:43	46	46	12.54	11	171
04岿 07老	9:53:44	45	45	12.53	11	171
04岿 07老	9:53:44	46	46	12.54	11	171
04岿 07老	9:53:45	46	46	12.54	11	171
04岿 07老	9:53:45	46	46	12.54	11	171
04岿 07老	9:53:46	46	46	12.54	11	171
04岿 07老	9:53:46	46	46	12.54	11	171
04岿 07老	9:53:47	46	46	12.53	11	171
04岿 07老	9:53:47	46	46	12.52	11	171
04岿 07老	9:53:48	46	46	12.53	11	171
04岿 07老	9:53:48	47	47	12.55	11	171
04岿 07老	9:53:49	46	46	12.54	11	171
04岿 07老	9:53:49	47	47	12.54	11	171
04岿 07老	9:53:50	46	46	12.53	11	171
04岿 07老	9:53:50	47	47	12.53	11	171
04岿 07老	9:53:51	47	47	12.53	11	171
04岿 07老	9:53:51	46	46	12.51	11	171
04岿 07老	9:53:52	47	47	12.55	11	171
04岿 07老	9:53:52	47	47	12.54	11	171
04岿 07老	9:53:53	47	47	12.53	11	171
04岿 07老	9:53:53	46	46	12.52	11	171
04岿 07老	9:53:54	48	48	12.54	11	171
04岿 07老	9:53:54	48	48	12.54	11	171
04岿 07老	9:53:55	47	47	12.53	11	171
04岿 07老	9:53:55	47	47	12.53	11	171
04岿 07老	9:53:56	47	47	12.52	11	171
04岿 07老	9:53:56	47	47	12.53	11	171
04岿 07老	9:53:57	46	46	12.5	11	171
04岿 07老	9:53:57	47	47	12.51	11	171
04岿 07老	9:53:58	47	47	12.5	11	171
04岿 07老	9:53:58	47	47	12.51	11	171
04岿 07老	9:53:59	48	48	12.52	11	171
04岿 07老	9:53:59	48	48	12.53	11	171
04岿 07老	9:54:00	47	47	12.52	11	171
04岿 07老	9:54:00	47	47	12.5	11	171
04岿 07老	9:54:01	47	47	12.5	11	171
04岿 07老	9:54:01	48	48	12.52	11	171
04岿 07老	9:54:02	46	46	12.49	11	171
04岿 07老	9:54:02	47	47	12.52	11	171
04岿 07老	9:54:03	47	47	12.49	11	171
04岿 07老	9:54:03	47	47	12.5	11	171
04岿 07老	9:54:04	46	46	12.49	11	171
04岿 07老	9:54:04	48	48	12.51	11	171
04岿 07老	9:54:05	47	47	12.52	11	171
04岿 07老	9:54:05	47	47	12.5	11	171
04岿 07老	9:54:06	47	47	12.49	11	171
04岿 07老	9:54:06	46	46	12.49	11	171
04岿 07老	9:54:07	46	46	12.49	11	171
04岿 07老	9:54:07	46	46	12.49	11	171
04岿 07老	9:54:08	47	47	12.5	11	171
04岿 07老	9:54:08	47	47	12.5	11	171
04岿 07老	9:54:09	46	46	12.5	11	171
04岿 07老	9:54:09	47	47	12.5	11	171
04岿 07老	9:54:10	47	47	12.51	11	171
04岿 07老	9:54:10	47	47	12.49	11	171
04岿 07老	9:54:11	47	47	12.5	11	171
04岿 07老	9:54:11	47	47	12.49	11	171
04岿 07老	9:54:12	47	47	12.5	11	171
04岿 07老	9:54:12	46	46	12.5	11	171
04岿 07老	9:54:13	46	46	12.49	11	171
04岿 07老	9:54:13	47	47	12.49	11	171
04岿 07老	9:54:14	47	47	12.5	11	171
04岿 07老	9:54:14	46	46	12.49	11	171
04岿 07老	9:54:15	47	47	12.51	11	171
04岿 07老	9:54:15	46	46	12.5	11	171
04岿 07老	9:54:16	46	46	12.5	11	171
04岿 07老	9:54:16	47	47	12.51	11	171
04岿 07老	9:54:17	46	46	12.49	11	171
04岿 07老	9:54:17	46	46	12.48	11	171
