SensorID: 5498,
Firmware Version: 1.5.5,

Date,Time,SmO2 Live,SmO2 Averaged,THb,Lap,Session Ct,
4-14,10:21:14,82,82,12.21,9,202,
4-14,10:21:15,82,82,12.22,9,202,
4-14,10:21:15,80,80,12.15,9,202,
4-14,10:21:16,79,79,12.25,9,202,
4-14,10:21:16,81,81,12.13,9,202,
4-14,10:21:17,81,81,12.11,9,202,
4-14,10:21:17,80,80,12.11,9,202,
4-14,10:21:18,80,80,12.14,9,202,
4-14,10:21:18,79,79,12.17,9,202,
4-14,10:21:19,81,81,12.12,9,202,
4-14,10:21:19,80,80,12.18,9,202,
4-14,10:21:20,80,80,12.17,9,202,
4-14,10:21:20,78,78,12.1,9,202,
4-14,10:21:21,80,80,12.13,9,202,
4-14,10:21:21,80,80,12.06,9,202,
4-14,10:21:22,80,80,12.09,9,202,
4-14,10:21:22,80,80,11.99,9,202,
4-14,10:21:23,81,81,12.1,9,202,
4-14,10:21:23,80,80,12.09,9,202,
4-14,10:21:24,81,81,12.09,9,202,
4-14,10:21:24,81,81,12.08,9,202,
4-14,10:21:25,79,79,12.15,9,202,
4-14,10:21:25,79,79,12.11,9,202,
4-14,10:21:26,79,79,12.12,9,202,
4-14,10:21:26,79,79,12.05,9,202,
4-14,10:21:27,80,80,12.18,9,202,
4-14,10:21:27,80,80,12.07,9,202,
4-14,10:21:28,80,80,12.23,9,202,
4-14,10:21:28,80,80,12.15,9,202,
4-14,10:21:29,80,80,12.21,9,202,
4-14,10:21:29,80,80,12.1,9,202,
4-14,10:21:30,81,81,12.12,9,202,
4-14,10:21:30,80,80,12.27,9,202,
4-14,10:21:31,80,80,12.03,9,202,
4-14,10:21:31,81,81,12.11,9,202,
4-14,10:21:32,81,81,12.18,9,202,
4-14,10:21:32,82,82,12.11,9,202,
4-14,10:21:33,83,83,12.29,9,202,
4-14,10:21:33,81,81,12.14,9,202,
4-14,10:21:34,82,82,12.11,9,202,
4-14,10:21:34,81,81,12.12,9,202,
4-14,10:21:35,83,83,12.14,9,202,
4-14,10:21:35,81,81,12.16,9,202,
4-14,10:21:36,81,81,12.13,9,202,
4-14,10:21:36,81,81,12.13,9,202,
4-14,10:21:37,81,81,12.16,9,202,
4-14,10:21:37,81,81,12.19,9,202,
4-14,10:21:38,81,81,12.07,9,202,
4-14,10:21:38,81,81,12.19,9,202,
4-14,10:21:39,81,81,12.26,9,202,
4-14,10:21:39,81,81,12.26,9,202,
4-14,10:21:40,81,81,12.3,9,202,
4-14,10:21:40,81,81,12.1,9,202,
4-14,10:21:41,82,82,12.15,9,202,
4-14,10:21:41,82,82,12.21,9,202,
4-14,10:21:42,81,81,12.09,9,202,
4-14,10:21:42,80,80,12.13,9,202,
4-14,10:21:43,80,80,12.19,9,202,
4-14,10:21:43,80,80,12.11,9,202,
4-14,10:21:44,82,82,12.06,9,202,
4-14,10:21:44,80,80,12.15,9,202,
4-14,10:21:45,83,83,12.21,9,202,
4-14,10:21:45,82,82,12.09,9,202,
4-14,10:21:46,80,80,12.14,9,202,
4-14,10:21:46,80,80,12.27,9,202,
4-14,10:21:47,80,80,12.08,9,202,
4-14,10:21:47,81,81,12.12,9,202,
4-14,10:21:48,80,80,12.1,9,202,
4-14,10:21:48,81,81,12.25,9,202,
4-14,10:21:49,80,80,12.23,9,202,
4-14,10:21:49,82,82,12.11,9,202,
