SensorID: 5498,
Firmware Version: 1.5.5,

mm-dd,hh:mm:ss,SmO2 Live,SmO2 Averaged,THb,Lap,Session Ct,
2-11,14:0:57,62,62,13.12,4,37,
2-11,14:0:57,62,62,13.14,4,37,
2-11,14:0:58,62,62,13.14,4,37,
2-11,14:0:58,62,62,13.12,4,37,
2-11,14:0:59,63,63,13.16,4,37,
2-11,14:0:59,63,63,13.16,4,37,
2-11,14:1:0,63,63,13.15,4,37,
2-11,14:1:0,62,62,13.11,4,37,
2-11,14:1:1,61,61,13.11,4,37,
2-11,14:1:1,63,63,13.15,4,37,
2-11,14:1:2,62,62,13.12,4,37,
2-11,14:1:2,63,63,13.16,4,37,
2-11,14:1:3,62,62,13.11,4,37,
2-11,14:1:3,62,62,13.13,4,37,
2-11,14:1:4,62,62,13.13,4,37,
2-11,14:1:4,61,61,13.12,4,37,
2-11,14:1:5,60,60,13.11,4,37,
2-11,14:1:5,62,62,13.15,4,37,
2-11,14:1:6,60,60,13.12,4,37,
2-11,14:1:6,60,60,13.15,4,37,
2-11,14:1:7,59,59,13.15,4,37,
2-11,14:1:7,59,59,13.14,4,37,
2-11,14:1:8,58,58,13.13,4,37,
2-11,14:1:8,59,59,13.15,4,37,
2-11,14:1:9,59,59,13.15,4,37,
2-11,14:1:9,59,59,13.17,4,37,
2-11,14:1:10,59,59,13.17,4,37,
2-11,14:1:10,58,58,13.14,4,37,
2-11,14:1:11,58,58,13.14,4,37,
2-11,14:1:11,59,59,13.15,4,37,
2-11,14:1:12,59,59,13.17,4,37,
2-11,14:1:12,58,58,13.14,4,37,
2-11,14:1:13,59,59,13.16,4,37,
2-11,14:1:13,58,58,13.16,4,37,
2-11,14:1:14,58,58,13.13,4,37,
2-11,14:1:14,59,59,13.17,4,37,
2-11,14:1:15,58,58,13.14,4,37,
2-11,14:1:15,58,58,13.17,4,37,
2-11,14:1:16,59,59,13.18,4,37,
2-11,14:1:16,57,57,13.15,4,37,
2-11,14:1:17,58,58,13.16,4,37,
2-11,14:1:17,57,57,13.14,4,37,
2-11,14:1:18,57,57,13.16,4,37,
2-11,14:1:18,58,58,13.16,4,37,
2-11,14:1:19,58,58,13.17,4,37,
2-11,14:1:19,57,57,13.17,4,37,
2-11,14:1:20,57,57,13.15,4,37,
2-11,14:1:20,57,57,13.18,4,37,
2-11,14:1:21,56,56,13.15,4,37,
2-11,14:1:21,57,57,13.16,4,37,
2-11,14:1:22,58,58,13.18,4,37,
2-11,14:1:22,56,56,13.15,4,37,
2-11,14:1:23,57,57,13.17,4,37,
2-11,14:1:23,57,57,13.17,4,37,
2-11,14:1:24,56,56,13.16,4,37,
2-11,14:1:24,56,56,13.16,4,37,
2-11,14:1:25,56,56,13.15,4,37,
2-11,14:1:25,56,56,13.15,4,37,
2-11,14:1:26,56,56,13.15,4,37,
2-11,14:1:26,55,55,13.15,4,37,
2-11,14:1:27,55,55,13.14,4,37,
2-11,14:1:27,55,55,13.16,4,37,
2-11,14:1:28,56,56,13.18,4,37,
