SensorID: 5498						
Firmware Version: 1.5.5						
						
mm-dd	hh:mm:ss	SmO2 Live	SmO2 Averaged	THb	Lap	Session Ct
02岿 24老	12:06:26	69	69	13.44	10	86
02岿 24老	12:06:27	69	69	13.43	10	86
02岿 24老	12:06:27	69	69	13.41	10	86
02岿 24老	12:06:28	68	68	13.42	10	86
02岿 24老	12:06:28	69	69	13.44	10	86
02岿 24老	12:06:29	66	66	13.3	10	86
02岿 24老	12:06:29	68	68	13.37	10	86
02岿 24老	12:06:30	66	66	13.33	10	86
02岿 24老	12:06:30	68	68	13.39	10	86
02岿 24老	12:06:31	68	68	13.38	10	86
02岿 24老	12:06:31	67	67	13.33	10	86
02岿 24老	12:06:32	69	69	13.4	10	86
02岿 24老	12:06:32	70	70	13.49	10	86
02岿 24老	12:06:33	68	68	13.37	10	86
02岿 24老	12:06:33	69	69	13.42	10	86
02岿 24老	12:06:34	68	68	13.36	10	86
02岿 24老	12:06:34	68	68	13.37	10	86
02岿 24老	12:06:35	67	67	13.35	10	86
02岿 24老	12:06:35	68	68	13.37	10	86
02岿 24老	12:06:36	66	66	13.31	10	86
02岿 24老	12:06:36	67	67	13.3	10	86
02岿 24老	12:06:37	68	68	13.43	10	86
02岿 24老	12:06:37	67	67	13.37	10	86
02岿 24老	12:06:38	68	68	13.36	10	86
02岿 24老	12:06:38	65	65	13.27	10	86
02岿 24老	12:06:39	66	66	13.31	10	86
02岿 24老	12:06:39	68	68	13.4	10	86
02岿 24老	12:06:40	66	66	13.32	10	86
02岿 24老	12:06:40	66	66	13.34	10	86
02岿 24老	12:06:41	66	66	13.29	10	86
02岿 24老	12:06:41	68	68	13.4	10	86
02岿 24老	12:06:42	68	68	13.39	10	86
02岿 24老	12:06:42	66	66	13.34	10	86
02岿 24老	12:06:43	64	64	13.22	10	86
02岿 24老	12:06:43	68	68	13.39	10	86
02岿 24老	12:06:44	66	66	13.29	10	86
02岿 24老	12:06:44	69	69	13.43	10	86
02岿 24老	12:06:45	67	67	13.37	10	86
02岿 24老	12:06:45	66	66	13.32	10	86
02岿 24老	12:06:46	67	67	13.3	10	86
02岿 24老	12:06:46	68	68	13.4	10	86
02岿 24老	12:06:47	67	67	13.35	10	86
02岿 24老	12:06:47	68	68	13.38	10	86
02岿 24老	12:06:48	64	64	13.25	10	86
02岿 24老	12:06:48	65	65	13.32	10	86
02岿 24老	12:06:49	66	66	13.29	10	86
02岿 24老	12:06:49	66	66	13.36	10	86
02岿 24老	12:06:50	66	66	13.29	10	86
02岿 24老	12:06:50	68	68	13.4	10	86
02岿 24老	12:06:51	68	68	13.39	10	86
02岿 24老	12:06:51	68	68	13.39	10	86
02岿 24老	12:06:52	65	65	13.26	10	86
02岿 24老	12:06:52	68	68	13.41	10	86
02岿 24老	12:06:53	66	66	13.28	10	86
02岿 24老	12:06:53	69	69	13.42	10	86
02岿 24老	12:06:54	67	67	13.31	10	86
02岿 24老	12:06:54	64	64	13.27	10	86
02岿 24老	12:06:55	66	66	13.3	10	86
02岿 24老	12:06:55	67	67	13.33	10	86
02岿 24老	12:06:56	66	66	13.34	10	86
02岿 24老	12:06:56	66	66	13.3	10	86
02岿 24老	12:06:57	65	65	13.3	10	86
02岿 24老	12:06:57	66	66	13.33	10	86
02岿 24老	12:06:58	66	66	13.29	10	86
02岿 24老	12:06:58	66	66	13.36	10	86
02岿 24老	12:06:59	65	65	13.27	10	86
02岿 24老	12:06:59	66	66	13.34	10	86
02岿 24老	12:07:00	66	66	13.31	10	86
02岿 24老	12:07:00	67	67	13.38	10	86
02岿 24老	12:07:01	67	67	13.38	10	86
02岿 24老	12:07:01	66	66	13.29	10	86
02岿 24老	12:07:02	68	68	13.41	10	86
02岿 24老	12:07:02	66	66	13.31	10	86
02岿 24老	12:07:03	66	66	13.37	10	86
02岿 24老	12:07:03	68	68	13.4	10	86
02岿 24老	12:07:04	64	64	13.25	10	86
02岿 24老	12:07:04	66	66	13.32	10	86
02岿 24老	12:07:05	64	64	13.3	10	86
02岿 24老	12:07:05	65	65	13.28	10	86
02岿 24老	12:07:06	66	66	13.35	10	86
02岿 24老	12:07:06	68	68	13.41	10	86
02岿 24老	12:07:07	64	64	13.26	10	86
02岿 24老	12:07:07	64	64	13.28	10	86
02岿 24老	12:07:08	67	67	13.39	10	86
02岿 24老	12:07:08	65	65	13.34	10	86
02岿 24老	12:07:09	67	67	13.38	10	86
02岿 24老	12:07:09	69	69	13.44	10	86
02岿 24老	12:07:10	66	66	13.35	10	86
02岿 24老	12:07:10	64	64	13.29	10	86
02岿 24老	12:07:11	65	65	13.29	10	86
02岿 24老	12:07:11	66	66	13.34	10	86
02岿 24老	12:07:12	65	65	13.33	10	86
02岿 24老	12:07:12	64	64	13.3	10	86
02岿 24老	12:07:13	65	65	13.28	10	86
02岿 24老	12:07:13	66	66	13.33	10	86
02岿 24老	12:07:14	68	68	13.38	10	86
02岿 24老	12:07:14	67	67	13.36	10	86
02岿 24老	12:07:15	63	63	13.24	10	86
02岿 24老	12:07:15	66	66	13.35	10	86
02岿 24老	12:07:16	65	65	13.31	10	86
02岿 24老	12:07:16	65	65	13.32	10	86
02岿 24老	12:07:17	65	65	13.3	10	86
02岿 24老	12:07:17	66	66	13.33	10	86
02岿 24老	12:07:18	67	67	13.35	10	86
02岿 24老	12:07:18	66	66	13.37	10	86
02岿 24老	12:07:19	63	63	13.23	10	86
02岿 24老	12:07:19	66	66	13.37	10	86
02岿 24老	12:07:20	66	66	13.34	10	86
02岿 24老	12:07:20	65	65	13.28	10	86
02岿 24老	12:07:21	65	65	13.3	10	86
02岿 24老	12:07:21	66	66	13.35	10	86
02岿 24老	12:07:22	65	65	13.31	10	86
02岿 24老	12:07:22	66	66	13.35	10	86
02岿 24老	12:07:23	66	66	13.33	10	86
02岿 24老	12:07:23	64	64	13.25	10	86
02岿 24老	12:07:24	69	69	13.46	10	86
02岿 24老	12:07:24	66	66	13.34	10	86
02岿 24老	12:07:25	68	68	13.37	10	86
02岿 24老	12:07:25	63	63	13.21	10	86
02岿 24老	12:07:26	68	68	13.41	10	86
02岿 24老	12:07:26	66	66	13.3	10	86
02岿 24老	12:07:27	69	69	13.41	10	86
02岿 24老	12:07:27	67	67	13.36	10	86
02岿 24老	12:07:28	67	67	13.39	10	86
02岿 24老	12:07:28	65	65	13.27	10	86
02岿 24老	12:07:29	67	67	13.36	10	86
02岿 24老	12:07:29	65	65	13.3	10	86
02岿 24老	12:07:30	64	64	13.26	10	86
02岿 24老	12:07:30	68	68	13.37	10	86
02岿 24老	12:07:31	69	69	13.44	10	86
02岿 24老	12:07:31	68	68	13.46	10	86
02岿 24老	12:07:32	66	66	13.32	10	86
02岿 24老	12:07:32	67	67	13.37	10	86
02岿 24老	12:07:33	68	68	13.38	10	86
02岿 24老	12:07:33	67	67	13.35	10	86
02岿 24老	12:07:34	67	67	13.36	10	86
02岿 24老	12:07:34	63	63	13.24	10	86
02岿 24老	12:07:35	66	66	13.33	10	86
02岿 24老	12:07:35	66	66	13.3	10	86
02岿 24老	12:07:36	67	67	13.37	10	86
02岿 24老	12:07:36	68	68	13.4	10	86
02岿 24老	12:07:37	65	65	13.34	10	86
02岿 24老	12:07:37	65	65	13.3	10	86
02岿 24老	12:07:38	64	64	13.27	10	86
02岿 24老	12:07:38	68	68	13.37	10	86
02岿 24老	12:07:39	64	64	13.3	10	86
02岿 24老	12:07:39	65	65	13.34	10	86
02岿 24老	12:07:40	63	63	13.24	10	86
02岿 24老	12:07:40	65	65	13.27	10	86
02岿 24老	12:07:41	68	68	13.39	10	86
02岿 24老	12:07:41	66	66	13.34	10	86
02岿 24老	12:07:42	67	67	13.38	10	86
02岿 24老	12:07:42	67	67	13.41	10	86
02岿 24老	12:07:43	66	66	13.35	10	86
02岿 24老	12:07:43	68	68	13.43	10	86
02岿 24老	12:07:44	64	64	13.31	10	86
02岿 24老	12:07:44	67	67	13.38	10	86
02岿 24老	12:07:45	65	65	13.33	10	86
02岿 24老	12:07:45	65	65	13.32	10	86
02岿 24老	12:07:46	67	67	13.38	10	86
02岿 24老	12:07:46	64	64	13.3	10	86
02岿 24老	12:07:47	67	67	13.37	10	86
02岿 24老	12:07:47	64	64	13.31	10	86
02岿 24老	12:07:48	68	68	13.45	10	86
02岿 24老	12:07:48	66	66	13.35	10	86
02岿 24老	12:07:49	66	66	13.35	10	86
02岿 24老	12:07:49	66	66	13.36	10	86
02岿 24老	12:07:50	63	63	13.28	10	86
02岿 24老	12:07:50	64	64	13.27	10	86
02岿 24老	12:07:51	64	64	13.3	10	86
02岿 24老	12:07:51	65	65	13.3	10	86
02岿 24老	12:07:52	66	66	13.35	10	86
02岿 24老	12:07:52	66	66	13.36	10	86
02岿 24老	12:07:53	63	63	13.26	10	86
02岿 24老	12:07:53	65	65	13.34	10	86
02岿 24老	12:07:54	66	66	13.35	10	86
02岿 24老	12:07:54	66	66	13.33	10	86
02岿 24老	12:07:55	64	64	13.26	10	86
02岿 24老	12:07:55	65	65	13.35	10	86
02岿 24老	12:07:56	66	66	13.36	10	86
02岿 24老	12:07:56	65	65	13.33	10	86
02岿 24老	12:07:57	64	64	13.32	10	86
02岿 24老	12:07:57	65	65	13.34	10	86
02岿 24老	12:07:58	64	64	13.32	10	86
02岿 24老	12:07:58	64	64	13.31	10	86
02岿 24老	12:07:59	66	66	13.35	10	86
02岿 24老	12:07:59	64	64	13.27	10	86
02岿 24老	12:08:00	65	65	13.32	10	86
02岿 24老	12:08:00	64	64	13.31	10	86
02岿 24老	12:08:01	64	64	13.27	10	86
02岿 24老	12:08:01	64	64	13.29	10	86
02岿 24老	12:08:02	65	65	13.34	10	86
02岿 24老	12:08:02	65	65	13.37	10	86
02岿 24老	12:08:03	65	65	13.36	10	86
02岿 24老	12:08:03	64	64	13.35	10	86
02岿 24老	12:08:04	65	65	13.34	10	86
02岿 24老	12:08:04	68	68	13.43	10	86
02岿 24老	12:08:05	64	64	13.29	10	86
02岿 24老	12:08:05	64	64	13.29	10	86
02岿 24老	12:08:06	64	64	13.26	10	86
02岿 24老	12:08:06	63	63	13.28	10	86
02岿 24老	12:08:07	64	64	13.34	10	86
02岿 24老	12:08:07	64	64	13.32	10	86
02岿 24老	12:08:08	65	65	13.34	10	86
02岿 24老	12:08:08	63	63	13.27	10	86
02岿 24老	12:08:09	64	64	13.34	10	86
02岿 24老	12:08:09	67	67	13.42	10	86
02岿 24老	12:08:10	64	64	13.33	10	86
02岿 24老	12:08:10	61	61	13.21	10	86
02岿 24老	12:08:11	66	66	13.4	10	86
02岿 24老	12:08:11	66	66	13.36	10	86
02岿 24老	12:08:12	64	64	13.36	10	86
02岿 24老	12:08:12	70	70	13.57	10	86
02岿 24老	12:08:13	63	63	13.3	10	86
02岿 24老	12:08:13	66	66	13.41	10	86
02岿 24老	12:08:14	64	64	13.29	10	86
02岿 24老	12:08:14	63	63	13.3	10	86
02岿 24老	12:08:15	65	65	13.36	10	86
02岿 24老	12:08:15	63	63	13.32	10	86
02岿 24老	12:08:16	66	66	13.39	10	86
02岿 24老	12:08:16	66	66	13.37	10	86
02岿 24老	12:08:17	66	66	13.38	10	86
02岿 24老	12:08:17	62	62	13.24	10	86
02岿 24老	12:08:18	66	66	13.38	10	86
02岿 24老	12:08:18	62	62	13.27	10	86
02岿 24老	12:08:19	63	63	13.29	10	86
02岿 24老	12:08:19	65	65	13.36	10	86
02岿 24老	12:08:20	64	64	13.27	10	86
02岿 24老	12:08:20	70	70	13.54	10	86
02岿 24老	12:08:21	63	63	13.29	10	86
02岿 24老	12:08:21	63	63	13.28	10	86
02岿 24老	12:08:22	65	65	13.33	10	86
02岿 24老	12:08:22	63	63	13.29	10	86
02岿 24老	12:08:23	61	61	13.22	10	86
02岿 24老	12:08:23	68	68	13.44	10	86
02岿 24老	12:08:24	65	65	13.33	10	86
02岿 24老	12:08:24	67	67	13.41	10	86
02岿 24老	12:08:25	61	61	13.21	10	86
02岿 24老	12:08:25	65	65	13.33	10	86
02岿 24老	12:08:26	67	67	13.4	10	86
02岿 24老	12:08:26	65	65	13.34	10	86
02岿 24老	12:08:27	62	62	13.25	10	86
02岿 24老	12:08:27	62	62	13.23	10	86
02岿 24老	12:08:28	65	65	13.26	10	86
02岿 24老	12:08:28	64	64	13.3	10	86
02岿 24老	12:08:29	64	64	13.3	10	86
02岿 24老	12:08:29	63	63	13.24	10	86
02岿 24老	12:08:30	67	67	13.37	10	86
02岿 24老	12:08:30	67	67	13.38	10	86
02岿 24老	12:08:31	67	67	13.36	10	86
02岿 24老	12:08:31	66	66	13.32	10	86
02岿 24老	12:08:32	66	66	13.32	10	86
02岿 24老	12:08:32	68	68	13.41	10	86
02岿 24老	12:08:33	67	67	13.35	10	86
02岿 24老	12:08:33	65	65	13.28	10	86
02岿 24老	12:08:34	67	67	13.33	10	86
02岿 24老	12:08:34	65	65	13.32	10	86
02岿 24老	12:08:35	65	65	13.28	10	86
02岿 24老	12:08:35	65	65	13.32	10	86
02岿 24老	12:08:36	64	64	13.23	10	86
02岿 24老	12:08:36	64	64	13.27	10	86
02岿 24老	12:08:37	64	64	13.26	10	86
02岿 24老	12:08:37	68	68	13.41	10	86
02岿 24老	12:08:38	66	66	13.33	10	86
02岿 24老	12:08:38	65	65	13.27	10	86
02岿 24老	12:08:39	65	65	13.28	10	86
02岿 24老	12:08:39	66	66	13.33	10	86
02岿 24老	12:08:40	66	66	13.34	10	86
02岿 24老	12:08:40	63	63	13.21	10	86
02岿 24老	12:08:41	66	66	13.29	10	86
02岿 24老	12:08:41	66	66	13.32	10	86
02岿 24老	12:08:42	66	66	13.35	10	86
02岿 24老	12:08:42	66	66	13.34	10	86
02岿 24老	12:08:43	64	64	13.24	10	86
02岿 24老	12:08:43	64	64	13.24	10	86
02岿 24老	12:08:44	66	66	13.29	10	86
02岿 24老	12:08:44	65	65	13.26	10	86
02岿 24老	12:08:45	66	66	13.32	10	86
02岿 24老	12:08:45	66	66	13.3	10	86
02岿 24老	12:08:46	66	66	13.34	10	86
02岿 24老	12:08:46	67	67	13.35	10	86
02岿 24老	12:08:47	65	65	13.27	10	86
02岿 24老	12:08:47	66	66	13.32	10	86
02岿 24老	12:08:48	65	65	13.28	10	86
02岿 24老	12:08:48	66	66	13.34	10	86
02岿 24老	12:08:49	67	67	13.3	10	86
02岿 24老	12:08:49	65	65	13.26	10	86
02岿 24老	12:08:50	65	65	13.27	10	86
02岿 24老	12:08:50	64	64	13.25	10	86
02岿 24老	12:08:51	63	63	13.2	10	86
02岿 24老	12:08:51	63	63	13.22	10	86
02岿 24老	12:08:52	64	64	13.25	10	86
02岿 24老	12:08:52	68	68	13.4	10	86
02岿 24老	12:08:53	64	64	13.21	10	86
02岿 24老	12:08:53	63	63	13.21	10	86
02岿 24老	12:08:54	68	68	13.38	10	86
02岿 24老	12:08:54	64	64	13.26	10	86
02岿 24老	12:08:55	64	64	13.25	10	86
02岿 24老	12:08:55	66	66	13.34	10	86
02岿 24老	12:08:56	63	63	13.22	10	86
02岿 24老	12:08:56	67	67	13.31	10	86
02岿 24老	12:08:57	65	65	13.28	10	86
02岿 24老	12:08:57	63	63	13.22	10	86
02岿 24老	12:08:58	66	66	13.31	10	86
02岿 24老	12:08:58	65	65	13.28	10	86
02岿 24老	12:08:59	66	66	13.27	10	86
02岿 24老	12:08:59	66	66	13.28	10	86
02岿 24老	12:09:00	65	65	13.28	10	86
02岿 24老	12:09:00	67	67	13.35	10	86
02岿 24老	12:09:01	64	64	13.22	10	86
02岿 24老	12:09:01	66	66	13.27	10	86
02岿 24老	12:09:02	67	67	13.35	10	86
02岿 24老	12:09:02	67	67	13.32	10	86
02岿 24老	12:09:03	64	64	13.24	10	86
02岿 24老	12:09:03	66	66	13.28	10	86
02岿 24老	12:09:04	66	66	13.31	10	86
02岿 24老	12:09:04	65	65	13.26	10	86
02岿 24老	12:09:05	67	67	13.31	10	86
02岿 24老	12:09:05	65	65	13.26	10	86
02岿 24老	12:09:06	66	66	13.27	10	86
02岿 24老	12:09:06	65	65	13.25	10	86
02岿 24老	12:09:07	65	65	13.27	10	86
02岿 24老	12:09:07	66	66	13.29	10	86
02岿 24老	12:09:08	68	68	13.34	10	86
02岿 24老	12:09:08	66	66	13.3	10	86
02岿 24老	12:09:09	66	66	13.28	10	86
02岿 24老	12:09:09	66	66	13.26	10	86
02岿 24老	12:09:10	66	66	13.28	10	86
02岿 24老	12:09:10	69	69	13.41	10	86
02岿 24老	12:09:11	67	67	13.3	10	86
02岿 24老	12:09:11	66	66	13.27	10	86
02岿 24老	12:09:12	66	66	13.3	10	86
02岿 24老	12:09:12	67	67	13.33	10	86
02岿 24老	12:09:13	65	65	13.23	10	86
02岿 24老	12:09:13	67	67	13.29	10	86
02岿 24老	12:09:14	68	68	13.33	10	86
02岿 24老	12:09:14	67	67	13.34	10	86
02岿 24老	12:09:15	70	70	13.39	10	86
02岿 24老	12:09:15	66	66	13.28	10	86
02岿 24老	12:09:16	66	66	13.25	10	86
02岿 24老	12:09:16	68	68	13.39	10	86
02岿 24老	12:09:17	67	67	13.3	10	86
02岿 24老	12:09:17	67	67	13.29	10	86
02岿 24老	12:09:18	66	66	13.3	10	86
02岿 24老	12:09:18	68	68	13.33	10	86
02岿 24老	12:09:19	65	65	13.23	10	86
02岿 24老	12:09:19	66	66	13.26	10	86
02岿 24老	12:09:20	68	68	13.37	10	86
02岿 24老	12:09:20	66	66	13.23	10	86
02岿 24老	12:09:21	66	66	13.3	10	86
02岿 24老	12:09:21	66	66	13.26	10	86
02岿 24老	12:09:22	65	65	13.25	10	86
02岿 24老	12:09:22	66	66	13.31	10	86
02岿 24老	12:09:23	67	67	13.29	10	86
02岿 24老	12:09:23	67	67	13.28	10	86
02岿 24老	12:09:24	67	67	13.3	10	86
02岿 24老	12:09:24	67	67	13.3	10	86
02岿 24老	12:09:25	65	65	13.26	10	86
02岿 24老	12:09:25	67	67	13.29	10	86
02岿 24老	12:09:26	69	69	13.39	10	86
02岿 24老	12:09:26	70	70	13.42	10	86
02岿 24老	12:09:27	66	66	13.26	10	86
02岿 24老	12:09:27	68	68	13.34	10	86
02岿 24老	12:09:28	68	68	13.33	10	86
02岿 24老	12:09:28	69	69	13.32	10	86
02岿 24老	12:09:29	68	68	13.35	10	86
02岿 24老	12:09:29	68	68	13.32	10	86
02岿 24老	12:09:30	67	67	13.27	10	86
02岿 24老	12:09:30	68	68	13.32	10	86
02岿 24老	12:09:31	68	68	13.33	10	86
02岿 24老	12:09:31	68	68	13.35	10	86
02岿 24老	12:09:32	68	68	13.35	10	86
02岿 24老	12:09:32	67	67	13.28	10	86
02岿 24老	12:09:33	67	67	13.26	10	86
02岿 24老	12:09:33	66	66	13.22	10	86
02岿 24老	12:09:34	68	68	13.28	10	86
02岿 24老	12:09:34	66	66	13.22	10	86
02岿 24老	12:09:35	68	68	13.29	10	86
02岿 24老	12:09:35	68	68	13.21	10	86
02岿 24老	12:09:36	68	68	13.3	10	86
02岿 24老	12:09:36	71	71	13.39	10	86
02岿 24老	12:09:37	68	68	13.28	10	86
02岿 24老	12:09:37	69	69	13.36	10	86
02岿 24老	12:09:38	68	68	13.27	10	86
02岿 24老	12:09:38	69	69	13.34	10	86
02岿 24老	12:09:39	69	69	13.32	10	86
02岿 24老	12:09:39	68	68	13.29	10	86
02岿 24老	12:09:40	69	69	13.36	10	86
02岿 24老	12:09:40	69	69	13.31	10	86
02岿 24老	12:09:41	68	68	13.29	10	86
02岿 24老	12:09:41	69	69	13.32	10	86
02岿 24老	12:09:42	67	67	13.23	10	86
02岿 24老	12:09:42	68	68	13.31	10	86
02岿 24老	12:09:43	69	69	13.34	10	86
02岿 24老	12:09:43	65	65	13.16	10	86
02岿 24老	12:09:44	68	68	13.28	10	86
02岿 24老	12:09:44	66	66	13.26	10	86
02岿 24老	12:09:45	69	69	13.35	10	86
02岿 24老	12:09:45	68	68	13.34	10	86
02岿 24老	12:09:46	67	67	13.26	10	86
02岿 24老	12:09:46	70	70	13.36	10	86
02岿 24老	12:09:47	68	68	13.33	10	86
02岿 24老	12:09:47	70	70	13.36	10	86
02岿 24老	12:09:48	68	68	13.29	10	86
02岿 24老	12:09:48	67	67	13.26	10	86
02岿 24老	12:09:49	69	69	13.32	10	86
02岿 24老	12:09:49	69	69	13.31	10	86
02岿 24老	12:09:50	67	67	13.26	10	86
02岿 24老	12:09:50	69	69	13.35	10	86
02岿 24老	12:09:51	68	68	13.3	10	86
02岿 24老	12:09:51	67	67	13.25	10	86
02岿 24老	12:09:52	68	68	13.31	10	86
02岿 24老	12:09:52	65	65	13.26	10	86
02岿 24老	12:09:53	68	68	13.28	10	86
02岿 24老	12:09:53	69	69	13.37	10	86
02岿 24老	12:09:54	67	67	13.32	10	86
02岿 24老	12:09:54	69	69	13.37	10	86
02岿 24老	12:09:55	68	68	13.34	10	86
02岿 24老	12:09:55	67	67	13.29	10	86
02岿 24老	12:09:56	69	69	13.38	10	86
02岿 24老	12:09:56	67	67	13.31	10	86
02岿 24老	12:09:57	67	67	13.29	10	86
02岿 24老	12:09:57	68	68	13.33	10	86
02岿 24老	12:09:58	67	67	13.28	10	86
02岿 24老	12:09:58	69	69	13.41	10	86
02岿 24老	12:09:59	67	67	13.3	10	86
02岿 24老	12:09:59	68	68	13.31	10	86
02岿 24老	12:10:00	68	68	13.35	10	86
02岿 24老	12:10:00	67	67	13.29	10	86
02岿 24老	12:10:01	67	67	13.32	10	86
02岿 24老	12:10:01	66	66	13.27	10	86
02岿 24老	12:10:02	68	68	13.34	10	86
02岿 24老	12:10:02	67	67	13.31	10	86
02岿 24老	12:10:03	68	68	13.37	10	86
02岿 24老	12:10:03	68	68	13.35	10	86
02岿 24老	12:10:04	69	69	13.37	10	86
02岿 24老	12:10:04	67	67	13.33	10	86
02岿 24老	12:10:05	67	67	13.33	10	86
02岿 24老	12:10:05	70	70	13.42	10	86
02岿 24老	12:10:06	69	69	13.4	10	86
02岿 24老	12:10:06	67	67	13.33	10	86
02岿 24老	12:10:07	66	66	13.28	10	86
02岿 24老	12:10:07	68	68	13.37	10	86
